PC401,didivgc's Victory Road Champions Arena Top 128 Team,,didivgc,,,,Floettite,,,Scizorite,,,Shuca Berry,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/09e9393ed0ad24d0,Yes,Extracted,✔,XC7STMYNM2,19 Apr 2026,Victory Road Champions Arena,105th,https://x.com/didivgc/status/2045887927511577026?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,https://victoryroad.pro/vr-champions-arena/,didivgc,,Floette-Eternal-Mega,Scizor-Mega,Incineroar,Aerodactyl,Sneasler,Sinistcha,,PC401
PC400,Nicco3003's Victory Road Champions Arena Top 128 Team,,Nicco3003,,,,Froslassite,,,Scovillainite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Haban Berry,,https://pokepast.es/589cf116742ac8a1,Yes,Extracted,✔,385V4TDKSF,19 Apr 2026,Victory Road Champions Arena,111th,https://x.com/NiccoVGC/status/2045925885623107641?s=20,-,https://victoryroad.pro/vr-champions-arena/,NiccoVGC,,Froslass-Mega,Scovillain-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC400
PC399,miraii1__'s Victory Road Champions Arena Top 128 Team,,miraii1__,,,,Aerodactylite,,,Froslassite,,,Focus Sash,,,White Herb,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/1c02d2bdcabdd2c4,Yes,Extracted,✔,N49FP5X9AM,19 Apr 2026,Victory Road Champions Arena,116th,https://x.com/miraii1__/status/2045983433050956105?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,https://victoryroad.pro/vr-champions-arena/,miraii1__,,Aerodactyl-Mega,Froslass-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC399
PC398,spy_anya11's Floette Aerodactyl Team,,spy_anya11,,,,Aerodactylite,,,Floettite,,,Kasib Berry,,,Focus Sash,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/9286cd09d998fc79,Yes,Extracted,✔,C1LE15UWUL,19 Apr 2026,-,,https://x.com/spy_anya11/status/2046149975999193195?s=46,-,-,spy_anya11,,Aerodactyl-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC398
PC397,johnnychiou36's Charizard-Y HTR Team,,johnnychiou36,,,,Charizardite Y,,,White Herb,,,Charcoal,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/18132063a17b9ddc,Yes,Owner's,✔,U9X1EJKTVS,19 Apr 2026,-,,https://x.com/johnnychiou36/status/2046093904391651358?s=46,-,-,johnnychiou36,,Charizard,Incineroar,Torkoal,Farigiraf,Kingambit,Hatterene,,PC397
PC396,Feitosa's Community League Stage 2 Champion Team,,Pedro Feitosa,,,,Floettite,,,Sharp Beak,,,Sitrus Berry,,,White Herb,,,Black Glasses,,,Roseli Berry,,https://pokepast.es/fd62b2862d49c78b,Yes,Extracted,✔,C7WYFNRMCN,19 Apr 2026,Community League Stage 2,Champion,https://x.com/PHSFeitosa/status/2045927791619690919,-,-,PHSFeitosa,,Floette-Eternal-Mega,Talonflame,Basculegion,Sneasler,Kingambit,Garchomp,,PC396
PC395,Feitosa's Community League Stage 1 Top 8 Team,,Pedro Feitosa,,,,Floettite,,,Tyranitarite,,,Sitrus Berry,,,Kasib Berry,,,Leftovers,,,Bright Powder,,https://pokepast.es/84616834c9e8b8ac,Yes,Extracted,✔,NBK3CGKSV6,19 Apr 2026,Community League Stage 1,Top 8,https://x.com/PHSFeitosa/status/2045927791619690919,-,-,PHSFeitosa,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Sinistcha,Corviknight,Garchomp,,PC395
PC394,pneumaticssb's Local Cup Runner Up Team,,pneumaticssb,,,,Delphoxite,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Soft Sand,,https://pokepast.es/cc2fb7ffc8d86f42,Yes,Extracted,✔,GHGG0NK65E,19 Apr 2026,Local Cup,Runner Up,https://x.com/pneumaticssb/status/2046019979485528466?s=46,-,-,pneumaticssb,,Delphox-Mega,Basculegion,Rotom-Wash,Sneasler,Kingambit,Garchomp,,PC394
PC393,PiyoLily145's Blastoise Sharpedo Team,,PiyoLily145,,,,Blastoisinite,,,Froslassite,,,Sharp Beak,,,Focus Sash,,,White Herb,,,Chople Berry,,https://pokepast.es/6b046c5bd4b85798,Yes,Extracted,✔,16VWTVFSDB,19 Apr 2026,-,,https://x.com/piyolily145/status/2045875071726862477?s=46,-,-,piyolily145,,Blastoise-Mega,Froslass-Mega,Talonflame,Sharpedo,Sneasler,Kingambit,,PC393
PC392,adit's Manectric Rain Team,,Adit Selvaraj,,,,Manectite,,,Scizorite,,,Chople Berry,,,Sitrus Berry,,,Colbur Berry,,,Leftovers,,https://pokepast.es/1a9357d6f2c7542d,No,Extracted,X,None,19 Apr 2026,-,,https://x.com/wellspringmask/status/2045897501845442798?s=46,-,-,wellspringmask,,Manectric-Mega,Scizor-Mega,Incineroar,Politoed,Sinistcha,Archaludon,,PC392
PC391,Wolfey's Feraligatr Gardevoir Team,,Wolfe Glick,,,,Feraligite,,,Gardevoirite,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/cf3579d35a556cb8,Yes,Extracted,✔,MDQ7UKWAYE,19 Apr 2026,-,,https://youtu.be/2K1E9OkwvG4?si=Zm2mJ-OSL_X2BYB2,-,-,WolfeyGlick,,Feraligatr-Mega,Gardevoir-Mega,Talonflame,Sneasler,Sinistcha,Kingambit,,PC391
PC390,UB_SLOW's Froslass Kingambit Team,,Kaito Arii,,,,Froslassite,,,Focus Sash,,,Sitrus Berry,,,White Herb,,,Chople Berry,,,Dragon Fang,,https://pokepast.es/7351343f6ea150d1,Yes,Extracted,✔,8AFELYHR07,19 Apr 2026,-,,https://x.com/ub_slow/status/2045868773589315780?s=46,https://www.youtube.com/live/_gSgNYx-7Hg?si=LELfY6Ri2G1GwiHz,-,ub_slow,,Froslass-Mega,Basculegion,Milotic,Sneasler,Kingambit,Dragonite,,PC390
PC389,Yanagi's Charizard-Y Kangaskhan Team,,Yosuke Takayanagi,,,,Kangaskhanite,,,Charizardite Y,,,Charcoal,,,Focus Sash,,,Mystic Water,,,Sitrus Berry,,https://pokepast.es/7a47c9fa15c51926,Yes,Extracted,✔,BEGC0DEP1Y,19 Apr 2026,-,,https://x.com/yanagit_poke/status/2045892906280743319?s=46,-,-,yanagit_poke,,Kangaskhan-Mega,Charizard,Torkoal,Basculegion,Primarina,Farigiraf,,PC389
PC388,nyao_vgc's Aerodactyl Scovillain Team,,nyao_vgc,,,,Aerodactylite,,,Scovillainite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Leftovers,,https://pokepast.es/3316be04041e2ac2,Yes,Extracted,✔,Q08EGGGWRS,19 Apr 2026,-,,https://x.com/nyao_vgc/status/2045847710738350346?s=46,-,-,nyao_vgc,,Aerodactyl-Mega,Scovillain-Mega,Basculegion,Sneasler,Kingambit,Sylveon,,PC388
PC387,JMOdri's Tyranitar Meganium Team,,Juan Manuel Odriozola,,,,Meganiumite,,,Tyranitarite,,I,,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/2da5c7ec108f67a7,Yes,Extracted,✔,X5JUBHCX2F,19 Apr 2026,-,,https://x.com/jmodrivgc/status/2045888781874577914?s=46,-,-,jmodrivgc,,Meganium-Mega,Tyranitar-Mega,Talonflame,Rotom-Wash,Aegislash,Garchomp,,PC387
PC386,kiiraa_8750's Froslass Aegislash Team,,kiiraa_8750,,,,Froslassite,,,Leftovers,,,Focus Sash,,,Poison Barb,,,Spell Tag,,,Choice Scarf,,https://pokepast.es/64d1881ddd36523b,Yes,Extracted,✔,G7YYQDKF55,19 Apr 2026,-,,https://x.com/kiiraa_8750/status/2045827232111992952?s=46,-,-,kiiraa_8750,,Froslass-Mega,Milotic,Aerodactyl,Sneasler,Aegislash,Garchomp,,PC386
PC385,spy_anya11's Floette Basculegion Team,,spy_anya11,,,,Floettite,,,Chople Berry,,,Choice Scarf,,,White Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/5b5df06fe621e262,Yes,Extracted,✔,PA6UQU6L9M,19 Apr 2026,-,,https://x.com/spy_anya11/status/2045863620685475919?s=46,-,-,spy_anya11,,Floette-Eternal-Mega,Incineroar,Basculegion,Sneasler,Sinistcha,Garchomp,,PC385
PC384,リアス's Teru Challenge Champions #0 Online Team,,Liberty Note,,,,Tyranitarite,,,Magnet,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Leftovers,,https://pokepast.es/eb476f26b7dafc88,Yes,Extracted,✔,S19LJ1WVY7,19 Apr 2026,Teru Challenge Online,,https://x.com/_liberty_note/status/2045834900037931079?s=46,https://liberty-note.com/2026/04/19/teruchalle0-osetusetu/,-,_liberty_note,,Tyranitar-Mega,Rotom-Heat,Excadrill,Sneasler,Dragonite,Garchomp,,PC384
PC383,Hari's Charizard-X Snow Team,,Thomas Gravouille,,,,Charizardite X,,,Leftovers,,,Choice Scarf,,,White Herb,,,Occa Berry,,,Focus Sash,,https://pokepast.es/4a71e67fc007d5ce,Yes,Extracted,✔,RP58R83G6X,19 Apr 2026,-,,https://x.com/haripkmn/status/2045794942799192081?s=46,-,-,haripkmn,,Charizard,Milotic,Rotom-Frost,Sneasler,Sinistcha,Ninetales-Alola,,PC383
PC382,hugoo_0503's Glimmora Kangaskhan Team,,hugoo_0503,,,,Glimmoranite,,,Kangaskhanite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,https://pokepast.es/c7abd29c10f5bfc9,Yes,Extracted,✔,9XRBEMB9EY,14 Apr 2026,-,,https://x.com/hugoo_0503/status/2044046993056522699?s=20,-,-,hugoo_0503,,Glimmora-Mega,Kangaskhan-Mega,Incineroar,Basculegion,Ninetales-Alola,Dragonite,,PC382
PC381,Whitezero2000's Floette Arcanine Team,,Pai Yu-Ping,,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Coba Berry,,,Black Glasses,,https://pokepast.es/50dd50becdcd072e,Yes,Extracted,✔,4URANS2KTG,19 Apr 2026,Video,,https://x.com/whitezero2000/status/2045739210439843871?s=46,youtube.com/watch?si=VQIK6Jko1hJWweF7&v=OIsokfV3NaA&feature=youtu.be,-,whitezero2000,,Floette-Eternal-Mega,Arcanine,Aerodactyl,Sneasler,Sinistcha,Kingambit,,PC381
PC380,urshifu19's Scovillian Aerodactyl Team,,urshifu19,,,,Aerodactylite,,,Scovillainite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Leftovers,,https://pokepast.es/592abaadf8eb9283,Yes,Extracted,✔,YH583DF80J,19 Apr 2026,-,,https://x.com/urshifu19/status/2045714287357009959?s=46,-,-,urshifu19,,Aerodactyl-Mega,Scovillain-Mega,Basculegion,Sneasler,Kingambit,Sylveon,,PC380
PC379,dancho_p's Meganium Dedenne Team,,dancho_p,,,,Meganiumite,,,Shuca Berry,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,,Haban Berry,,https://pokepast.es/4d465edb3d1934e8,Yes,Extracted,✔,WY478GGFX4,19 Apr 2026,-,,https://x.com/dancho_p/status/2045495579959341212?s=46,-,-,dancho_p,,Meganium-Mega,Armarouge,Pelipper,Dedenne,Aegislash,Garchomp,,PC379
PC378,chrono_876's Glimmora Altaria Team,,chrono_876,,,,Altarianite,,,Glimmoranite,,,Black Belt,,,Mystic Water,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/7f94da0ee58907d4,Yes,Extracted,✔,M3HE6FG66P,19 Apr 2026,-,,https://x.com/chrono_876/status/2045583217055727735?s=46,-,-,chrono_876,,Altaria-Mega,Glimmora-Mega,Arcanine,Basculegion-F,Meowscarada,Dedenne,,PC378
PC377,return2cinders' Froslass Garchomp Team,,return2cinders,,,,Froslassite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Colbur Berry,,,Choice Scarf,,https://pokepast.es/fb09376e266202ec,Yes,Extracted,✔,DBN0NM24BH,19 Apr 2026,-,,https://x.com/return2cinders/status/2045353517716521420?s=46,-,-,return2cinders,,Froslass-Mega,Rotom-Wash,Aerodactyl,Sneasler,Sinistcha,Garchomp,,PC377
PC376,daikousin's Charizard-Y Scovillian Aerodactyl Team,,daikousin,,,,Aerodactylite,,,Scovillainite,,,Charizardite Y,,,Focus Sash,,,Chople Berry,,,Fairy Feather,,https://pokepast.es/53630e53c8d3f595,Yes,Extracted,✔,E7EPDQHWH9,19 Apr 2026,-,,https://x.com/daikousin45/status/2045642491026968755?s=46,-,-,daikousin45,,Aerodactyl-Mega,Scovillain-Mega,Charizard,Basculegion,Kingambit,Sylveon,,PC376
PC375,ignideus' Charizard-Y Tsareena Team,,ignideus,,,,Charizardite Y,,,Sitrus Berry,,,Choice Scarf,,I,,,,White Herb,,,Focus Sash,,https://pokepast.es/2bb04b6c3081f20d,Yes,Extracted,X,None,19 Apr 2026,-,,https://x.com/ignideus/status/2045666352221089839?s=46,-,-,ignideus,,Charizard,Incineroar,Basculegion,Tsareena,Sneasler,Garchomp,,PC375
PC374,Xeno's Content Inferno Champion Team,,Eden Batchelor,,,,Venusaurite,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Haban Berry,,https://pokepast.es/d378e96b903dcff5,Yes,Extracted,✔,2YJ3T4Q0E1,18 Apr 2026,Content Inferno,Champion,https://x.com/xenovgc/status/2045632868798357816?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,xenovgc,,Venusaur-Mega,Rotom-Heat,Primarina,Tyranitar,Corviknight,Garchomp,,PC374
PC373,zoryavgc's Content Inferno Runner Up Team,,zoryavgc,,,,Froslassite,,,Focus Sash,,,Mystic Water,,,White Herb,,,Sitrus Berry,,,Black Glasses,,https://pokepast.es/ec54d68d656588ff,Yes,Extracted,✔,T9QRRNT0GT,19 Apr 2026,Content Inferno,Runner Up,https://x.com/zoryavgc/status/2045836441217839211?s=46,-,-,zoryavgc,,Froslass-Mega,Arcanine-Hisui,Palafin,Sneasler,Sinistcha,Kingambit,,PC373
PC372,cptauro's Content Inferno Top 8 Team,,cptauro,,,,Altarianite,,,Scovillainite,,,Choice Scarf,,,Leftovers,,,White Herb,,,Black Glasses,,https://pokepast.es/38291b872450002e,Yes,Extracted,✔,YDT075WPTM,18 Apr 2026,Content Inferno,Top 8,https://x.com/cptauro/status/2045612226376032566?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cptauro,,Altaria-Mega,Scovillain-Mega,Basculegion,Garganacl,Sneasler,Kingambit,,PC372
PC371,soulkw's Floette Tsareena Team,,soulkw,,,,Floettite,,,Focus Sash,,,Leftovers,,,Choice Scarf,,,Spell Tag,,,White Herb,,https://pokepast.es/5df93d8a13c20f4b,Yes,Owner's,✔,5NXYMSYX1S,18 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Floette-Eternal-Mega,Talonflame,Milotic,Tsareena,Aegislash,Garchomp,,PC371
PC370,mayahoppins' Unova Champions League Champion Team,,mayahoppins,,,,Lopunnite,,,Mystic Water,,,Focus Sash,,,Sitrus Berry,,,Chople Berry,,,Magnet,,https://pokepast.es/22d85b73d74b58d2,Yes,Owner's,✔,YV9BTYYHDA,18 Apr 2026,Unova Champions League,Champion,Discord Submission,-,-,Manual Entry,,Lopunny-Mega,Basculegion,Pelipper,Sinistcha,Kingambit,Archaludon,,PC370
PC369,n1ghtm2re's Banette Scovillain Team,,n1ghtm2re,,,,Banettite,,,Scovillainite,,,White Herb,,,Choice Scarf,,,Focus Sash,,,Occa Berry,,https://pokepast.es/157afc5bcd672156,Yes,Owner's,✔,WGG9SSSJ9X,18 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Banette-Mega,Scovillain-Mega,Samurott-Hisui,Gallade,Whimsicott,Tinkaton,,PC369
PC368,teru's Floette Sneasler Team,,Jun Mikami,,,,Floettite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,,Soft Sand,,https://pokepast.es/95e1f64a174b0bef,Yes,Extracted,✔,B39RCFF2GJ,17 Apr 2026,Video,,https://x.com/terupoke9/status/2045107617048211640?s=20,youtu.be/eFJ_4b8CtIU,-,terupoke9,,Floette-Eternal-Mega,Aerodactyl,Sneasler,Sinistcha,Kingambit,Garchomp,,PC368
PC367,Ewok's Venusaur Palafin Team,,Christian Ramírez,,,,Venusaurite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/deac8b336763c4c3,Yes,Extracted,✔,QFX0KJJL08,17 Apr 2026,-,,https://x.com/ewok_padawan/status/2045199322933830120?s=46,-,-,ewok_padawan,,Venusaur-Mega,Rotom-Heat,Palafin,Aerodactyl,Archaludon,Hydreigon,,PC367
PC366,chakowanwann's Froslass Sharpedo Team,,chakowanwann,,,,Froslassite,,,Sharpedonite,,,Focus Sash,,,Leftovers,,,White Herb,,,Chople Berry,,https://pokepast.es/91eb8fdce8248f93,No,Extracted,X,None,18 Apr 2026,-,,https://x.com/chakowanwann/status/2045339967053054332?s=46,-,-,chakowanwann,,Froslass-Mega,Sharpedo-Mega,Basculegion,Rotom-Wash,Sneasler,Kingambit,,PC366
PC365,toshiniki's Floette Delphox Team,,toshiniki,,,,Delphoxite,,,Floettite,,,Focus Sash,,,White Herb,,,Chople Berry,,,Soft Sand,,https://pokepast.es/561520b52e9f15f8,Yes,Extracted,✔,7H0SMYNBKM,18 Apr 2026,-,,https://x.com/Toshi_kyogre/status/2045419095676604643?s=20,-,-,Toshi_kyogre,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC365
PC364,barudoru's Froslass Glaceon Team,,Ryota Otsubo,,,,Froslassite,,,Leftovers,,,Focus Sash,,,Never-Melt Ice,,,Choice Scarf,,,White Herb,,https://pokepast.es/2bab7929ed09fafc,Yes,Extracted,✔,4M4NNYS38H,18 Apr 2026,-,,https://x.com/barudoru/status/2045426505015238897?s=20,-,-,barudoru,,Froslass-Mega,Milotic,Aerodactyl,Glaceon,Krookodile,Sneasler,,PC364
PC363,pokeseanz's Tyranitar Sableye Team,,pokeseanz,,,,Tyranitarite,,,Choice Scarf,,,Leftovers,,,White Herb,,,Roseli Berry,,,Sitrus Berry,,https://pokepast.es/aff97ac37f557d4a,Yes,Extracted,✔,U4NA3C89GL,18 Apr 2026,-,,https://x.com/pokeseanz/status/2045370022655135772?s=46,-,-,pokeseanz,,Tyranitar-Mega,Rotom-Heat,Milotic,Tauros-Paldea-Aqua,Sableye,Sinistcha,,PC363
PC362,scarzig's Chesnaught Aegislash Team,,scarzig,,,,Focus Sash,,,Mystic Water,,,Leftovers,,,Choice Scarf,,,Sitrus Berry,,,Spell Tag,,https://pokepast.es/bceed3dbb63d15d2,Yes,Extracted,✔,FR2Y724A5U,18 Apr 2026,-,,https://x.com/scarzig/status/2045356321344754003?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,scarzig,,Armarouge,Empoleon,Chesnaught,Heracross,Farigiraf,Aegislash,,PC362
PC361,dodoriosiriru's Drampa Mudsdale Team,,Hijito Kihara,,,,Drampanite,,,Floettite,,,Sitrus Berry,,,Leftovers,,,Soft Sand,,,Colbur Berry,,https://pokepast.es/40f0c75a9f0bf698,Yes,Extracted,✔,BW5P9A0E1G,18 Apr 2026,-,,https://x.com/dodoriosiriru/status/2045323083867963473?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,dodoriosiriru,,Drampa-Mega,Floette-Eternal-Mega,Incineroar,Milotic,Mudsdale,Farigiraf,,PC361
PC360,slyx183's Venusaur Aegislash Team,,slyx183,,,,Venusaurite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Spell Tag,,,Haban Berry,,https://pokepast.es/7c8c1ff94e8b8135,Yes,Extracted,✔,EGMCENC7HT,18 Apr 2026,-,,https://x.com/slyx183/status/2045052422494789716?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,slyx183,,Venusaur-Mega,Incineroar,Milotic,Aerodactyl,Aegislash,Garchomp,,PC360
PC359,David's Abomasnow Oranguru Team,,David Partington,,,,Abomasite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,Mental Herb,,,Choice Scarf,,https://pokepast.es/e98c85d63dbb8d59,Yes,Extracted,✔,YQLR8ENB76,18 Apr 2026,-,,https://x.com/davidpartvgc/status/2045157549305893236?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,davidpartvgc,,Abomasnow-Mega,Incineroar,Basculegion,Vivillon,Oranguru,Lucario,,PC359
PC358,Osirus' Delphox Tsareena Team,,Lee Provost,,,,Delphoxite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Chople Berry,,,Soft Sand,,https://pokepast.es/fde4563d7471cd02,Yes,Extracted,✔,84X59BBFBF,18 Apr 2026,-,,https://x.com/osirusvgc/status/2045301323965333877?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,osirusvgc,,Delphox-Mega,Tsareena,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC358
PC357,m4this_yn's Floette Delphox Team,,m4this_yn,,,,Delphoxite,,,Floettite,,,Focus Sash,,,Chople Berry,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/68281e761e94a70f,Yes,Extracted,✔,4JAU1TV8G5,18 Apr 2026,-,,https://x.com/m4this_yn/status/2045299626392056305,-,-,m4this_yn,,Delphox-Mega,Floette-Eternal-Mega,Aerodactyl,Maushold-Four,Kingambit,Garchomp,,PC357
PC356,arcana's Tyranitar Garchomp Team,,arcana,,,,Tyranitarite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Leftovers,,,Sitrus Berry,,https://pokepast.es/c05e78d8f751deb6,Yes,Extracted,✔,L8YUE91PN3,18 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Tyranitar-Mega,Rotom-Heat,Excadrill,Sneasler,Sinistcha,Garchomp,,PC356
PC355,dubiousbulb1033's Charizard-Y Aerodactyl Team,,dubiousbulb1033,,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Black Glasses,,,Soft Sand,,https://pokepast.es/9faf5dd8ec7b52b4,Yes,Extracted,✔,EG4MRHQ0RK,17 Apr 2026,-,,https://x.com/dubiousbulb1033/status/2045274693100327185?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,dubiousbulb1033,,Charizard,Rotom-Wash,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC355
PC354,Teka's Scovillain Froslass Team,,Juan Manuel Santizo,,,,Froslassite,,,Scovillainite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Black Glasses,,https://pokepast.es/8db173fc07a49b97,Yes,Extracted,✔,NHHX5442E7,17 Apr 2026,-,,https://x.com/tekavgc/status/2045268170492018722?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,tekavgc,,Froslass-Mega,Scovillain-Mega,Rotom-Wash,Aerodactyl,Sneasler,Kingambit,,PC354
PC353,hiyo's Charizard-X Milotic Team,,hiyo,,,,Venusaurite,,,Charizardite X,,,Choice Scarf,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/49cf9217b5025d4a,Yes,Extracted,✔,C6PVSWS09M,17 Apr 2026,-,,https://x.com/hiyoooon4/status/2045177390469648521?s=46,-,-,hiyoooon4,,Venusaur-Mega,Charizard,Basculegion,Milotic,Aegislash,Garchomp,,PC353
PC352,MichaelderBeste's Froslass Rotom-Frost Team,,Michael Kelsch,,,,Froslassite,,,Choice Scarf,,,Leftovers,,,White Herb,,,Chople Berry,,,Lum Berry,,https://pokepast.es/b85b7a90760104a2,Yes,Extracted,✔,JT4MGBANLP,17 Apr 2026,-,,https://x.com/michaelderbeste/status/2045202094152413432?s=46,-,-,michaelderbeste,,Froslass-Mega,Rotom-Heat,Milotic,Sneasler,Kingambit,Garchomp,,PC352
PC351,swampert's Gardevoir Sharpedo Team,,swampert,,,,Gardevoirite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,https://pokepast.es/0ea63a1e46f49a9d,Yes,Extracted,✔,26TN6G3AMG,17 Apr 2026,-,,https://x.com/swampert__/status/2045156944504348713?s=46,-,-,swampert__,,Gardevoir-Mega,Rotom-Heat,Sharpedo,Sneasler,Sinistcha,Kingambit,,PC351
PC350,NikyuAlex's Floette Luxray Team,,Alessio Fuscà,,,,Floettite,,,Chople Berry,,,Choice Scarf,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,https://pokepast.es/b524869bdd45f751,Yes,Extracted,✔,69XRHQ11L7,17 Apr 2026,-,,https://x.com/nikyualex/status/2045193359250141586?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,nikyualex,,Floette-Eternal-Mega,Incineroar,Luxray,Sneasler,Sinistcha,Garchomp,,PC350
PC349,hertzzz212's Meganium Sand Team,,hertzzz212,,,,Meganiumite,,,Tyranitarite,,,Leftovers,,,Focus Sash,,,Spell Tag,,,Choice Scarf,,https://pokepast.es/a32beb98cd693cea,Yes,Owner's,✔,2KLL12N0YD,17 Apr 2026,-,,https://x.com/hertzzz212/status/2045155531422384559?s=46,-,-,hertzzz212,,Meganium-Mega,Tyranitar-Mega,Milotic,Aerodactyl,Aegislash,Garchomp,,PC349
PC348,Wolfey's Glimmora Gyarados Team,,Wolfey,,,,Glimmoranite,,,Gyaradosite,,,Leftovers,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/fa812b85e4f18e09,Yes,Extracted,✔,QXUPD20TBK,17 Apr 2026,Video,,https://youtu.be/2nFGsaNhoco?si=F2aUgyZOEG3U99bY,-,-,Manual Entry,,Glimmora-Mega,Gyarados-Mega,Volcarona,Corviknight,Ninetales-Alola,Garchomp,,PC348
PC347,Lewis Carroll's Dragonite Azumarill Team,,Lewis Carroll,,,,Dragoninite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Chople Berry,,,Leftovers,,https://pokepast.es/4761a0243fc0f9e6,Yes,Owner's,X,None,17 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Dragonite-Mega,Azumarill,Pelipper,Sneasler,Maushold,Sinistcha-Masterpiece,,PC347
PC346,billtram6's Kangaskhan Milotic Team,,billtram6,,,,Kangaskhanite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Coba Berry,,,Spell Tag,,https://pokepast.es/1f7c00e0ef66b8c5,Yes,Owner's,X,None,17 Apr 2026,Showdown Ladder,,https://x.com/billtram6/status/2045143888105738443?s=46,-,-,billtram6,,Kangaskhan-Mega,Rotom-Heat,Milotic,Sneasler,Sinistcha,Aegislash,,PC346
PC345,Wolfey's Emboar Cofagrigus Team,,Wolfey,,,,Emboarite,,,Lum Berry,,,Mental Herb,,,Leftovers,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/c5f00b300ccb2d83,Yes,Extracted,✔,950LKNUVYR,17 Apr 2026,Video,,https://youtu.be/4lzbYPlpc3Y?si=i_UcbrJXDKFHztpj,-,-,Manual Entry,,Emboar-Mega,Incineroar,Cofagrigus,Conkeldurr,Reuniclus,Hydreigon,,PC345
PC344,Hari's Lucario Charizard-Y Team,,Thomas Gravouille,,,,Lucarionite,,,Charizardite Y,,,Choice Scarf,,,Leftovers,,,Focus Sash,,,Haban Berry,,https://pokepast.es/223faa76470e57ba,Yes,Extracted,✔,EMLQK22QEU,17 Apr 2026,-,,https://x.com/haripkmn/status/2045123730204926076?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,haripkmn,,Lucario-Mega,Charizard,Basculegion,Milotic,Whimsicott,Hydreigon,,PC344
